Official_ID,Centroid_Lat_deg_N,Centroid_Lon_deg_E,Drainage_Area_km2,Elevation_m,Gravelius,Aspect_deg,Slope_deg,Land_Use_Forest_frac,Land_Use_Grass_frac,Land_Use_Wetland_frac,Land_Use_Water_frac,Land_Use_Urban_frac,Land_Use_Shrubs_frac,Land_Use_Crops_frac,Land_Use_Snow_Ice_frac,Permeability_logk_m2,Porosity_frac
05CJ009,50.84389,-111.1533,41000.0,981.5,2.5418,100.9236,2.436,0.1187,0.2447,0.0022,0.0312,0.0335,0.0301,0.539,0.0007,-15.548490592510701,0.169002319944002
05CK001,50.9583,-111.06,699.0,761.2,1.8069,184.3262,0.7857,0.0012,0.6935,0.0005,0.0368,0.0127,0.0008,0.2545,0.0,-16.3824577025824,0.12440783386504302
05CK005,50.898959999999995,-110.508,589.8475,775.7,1.9285,196.2099,1.224,0.0001,0.4752,0.0002,0.0212,0.0155,0.0005,0.4873,0.0,-16.1087912087912,0.13467032829975
05DA002,52.04417,-116.3839,515.0,2289.6,1.6986,299.7679,23.1796,0.3365,0.5603,0.0036,0.0063,0.0,0.016,0.0,0.0773,-15.1999998092651,0.189999997615814
05DA007,51.88427,-116.6892,248.044,2254.4,1.5634,302.402,22.9592,0.3176,0.4172,0.0017,0.0305,0.0042,0.0083,0.0,0.2205,-15.1704832737076,0.189033076536792
05DA009,52.00119,-116.4709,1923.2134,2189.1,1.8582,141.0989,22.0941,0.3521,0.371,0.0073,0.0201,0.0026,0.0126,0.0,0.2343,-15.1771801413864,0.188619669762547
05DA010,51.79992,-116.5839,21.0292,2407.2,1.4841,285.3693,26.8074,0.1681,0.6816,0.0049,0.0009,0.0022,0.0,0.0,0.1422,-15.1999998092651,0.189999997615814
05DB001,52.344440000000006,-114.9361,3220.0,1595.2,2.0483,81.0171,10.5848,0.6248,0.2146,0.0037,0.0091,0.0138,0.055999999999999994,0.0729,0.0051,-15.3592093341818,0.18142717826467397
05DB002,52.27386,-114.9292,844.0613,1269.7,1.7708,81.3448,4.8814,0.7309,0.0838,0.0047,0.0048,0.0213,0.0903,0.0643,0.0,-15.2396870824,0.187862990905301
05DB003,51.99167,-115.4333,1340.0,2020.1,1.8389,81.0297,17.7448,0.5507,0.3975,0.0038,0.0088,0.002,0.025,0.0,0.0122,-15.4318158920804,0.17751759493479602
05DB005,52.25457,-115.2879,208.0306,1429.3,1.4274,73.3929,8.0118,0.7923,0.1044,0.01,0.0009,0.0088,0.0836,0.0,0.0,-15.314938850519098,0.18381097319922102
05DB006,52.2521,-114.8558,2252.7581,1752.0,2.2396,81.7846,13.3451,0.6091,0.2732,0.0035,0.0102,0.0092,0.0431,0.0442,0.0075,-15.417881007151802,0.17826793478559602
05DC006,52.368590000000005,-115.4222,1853.5915,1820.3,1.9048,72.726,13.5904,0.7476,0.1986,0.0032,0.0034,0.0029,0.043,0.0,0.0015,-15.542406639163802,0.17156270940172502
05DC007,52.3,-116.3167,3890.0,2143.2,1.7797,202.7345,21.6409,0.3965,0.4252,0.005,0.0276,0.0018,0.0134,0.0,0.1304,-15.207922828723301,0.18850841782539002
05DC011,52.282959999999996,-115.9993,347.3191,1881.9,1.788,93.4271,14.8659,0.8287,0.1371,0.001,0.0015,0.0015,0.0302,0.0,0.0,-15.4312158141508,0.177549906818707
05DC012,52.663819999999994,-115.0758,1346.4528,1113.8,1.7208,88.9181,2.9397,0.8222,0.0288,0.0029,0.0078,0.0176,0.1189,0.0018,0.0,-15.1999998092651,0.189999997615814
05DD004,52.76396,-116.3608,218.6887,1588.7,1.7496,69.5179,10.9115,0.9379,0.0166,0.0031,0.0,0.0106,0.0318,0.0,0.0,-15.7560905424123,0.160056654712127
05DD007,52.88158000000001,-116.5563,2601.4915,2079.4,2.0643,75.5041,17.8022,0.4734,0.4656,0.0024,0.0111,0.0016,0.0245,0.0,0.0214,-15.383624447171199,0.180112518521767
05DD008,52.86778,-116.5953,495.0,1847.0,2.0958,85.9884,12.0354,0.7079,0.2343,0.0007,0.006,0.0044,0.0464,0.0,0.0003,-15.654019976381099,0.165552761330826
05DD009,52.81997,-115.5203,875.6971,1255.1,1.8441,53.9153,4.9491,0.8528,0.0412,0.0127,0.0036,0.0126,0.077,0.0,0.0,-15.287650638306902,0.18528033826286
05DE007,52.92991,-115.01100000000001,558.9797,977.3,1.4642,19.2828,1.9249,0.7672,0.003,0.001,0.0019,0.0226,0.0817,0.1228,0.0,-15.1999998092651,0.189999997615814
05DE009,53.40585,-114.7631,94.2342,800.2,1.5062,182.3287,1.0238,0.5111,0.0142,0.0023,0.0022,0.0218,0.0309,0.4176,0.0,-15.1999998092651,0.189999997615814
05DE010,53.31548000000001,-114.758,22122.8796,1587.6,1.8198,81.038,11.0856,0.6409999999999999,0.2032,0.004,0.0166,0.0133,0.052000000000000005,0.0424,0.0275,-15.335386009793902,0.18248516623926503
05DE911,53.248059999999995,-114.7056,656.6409,880.8,1.5967,18.5023,1.6931,0.298,0.0019,0.0001,0.0067,0.0398,0.0442,0.6093,0.0,-15.1999998092651,0.189999997615814
05DF003,53.41455,-113.5165,643.0144,739.2,1.3879,317.2145,0.8935,0.0561,0.0038,0.0028,0.0349,0.1022,0.0307,0.7695,0.0,-16.5,0.119999997317791
05DF004,53.31149,-114.0521,591.9746,793.9,1.3675,49.1383,1.1139,0.1407,0.0021,0.0009,0.0032,0.0447,0.0177,0.7907,0.0,-15.2243494486337,0.18868886337506
05DF006,53.41263000000001,-113.5909,330.3666,734.9,1.631,11.3458,0.46,0.0185,0.0068,0.0031,0.0055,0.0893,0.0118,0.8649,0.0,-16.329074048996,0.129203701060679
05DF007,53.222030000000004,-113.6906,65.14699999999999,767.6,1.4864,41.3474,0.5005,0.0376,0.0,0.0004,0.0014,0.0439,0.0065,0.9103,0.0,-15.7657406330109,0.159537034523156
05DF008,53.23379,-114.0508,199.5889,803.1,1.3543,30.2805,0.9584,0.1274,0.0002,0.0002,0.0018,0.0458,0.0132,0.8114,0.0,-15.1999998092651,0.189999997615814
05DF009,53.483019999999996,-113.5546,1110.0,733.3,1.5617,346.4311,0.7471,0.043,0.0059,0.0033,0.0226,0.152,0.0312,0.742,0.0,-16.4345637487885,0.12352348726567801
05EA001,53.83276,-113.2824,3247.0965,714.4,2.1503,97.9697,0.9678,0.171,0.0086,0.0061,0.0567,0.0768,0.0405,0.6403,0.0,-16.3188921778294,0.12975195558385302
05EA002,53.635830000000006,-113.6272,2590.8834,720.9,2.001,90.0359,1.0197,0.2042,0.0087,0.0066,0.0657,0.0757,0.0447,0.5945,0.0,-16.331149050817302,0.129091970209296
05EA005,53.65535,-113.7625,1889.4909,727.1,2.0681,70.6032,1.0561,0.2377,0.0076,0.0034,0.0739,0.0466,0.0387,0.5920000000000001,0.0,-16.2688981083095,0.13244394355911202
05EA009,53.572219999999994,-113.9333,315.0,722.7,1.6591,73.132,0.8231,0.0711,0.012,0.006999999999999999,0.0415,0.1283,0.0483,0.6917,0.0,-16.5,0.119999997317791
05EA010,53.591390000000004,-114.8597,121.2432,787.6,1.2971,351.1885,1.7245,0.3582,0.0069,0.0009,0.0062,0.0304,0.0292,0.5683,0.0,-15.1999998092651,0.189999997615814
05EA011,53.62339,-113.6953,97.0691,690.4,1.6424,199.4624,0.3093,0.0226,0.006999999999999999,0.0182,0.0118,0.1039,0.0208,0.8157,0.0,-16.5,0.119999997317791
05EA012,53.59028000000001,-113.8854,287.0739,725.4,1.5026,105.9566,1.078,0.1107,0.0082,0.0063,0.0409,0.1229,0.0527,0.6583,0.0,-16.5,0.119999997317791
05EB902,53.59944,-113.1636,105.3487,729.8,1.5314,329.2878,1.0543,0.24,0.0028,0.0018,0.0213,0.0854,0.0861,0.5626,0.0,-16.5,0.119999997317791
05EC002,54.123059999999995,-112.7828,313.244,665.3,1.462,204.6569,0.43700000000000006,0.2063,0.0039,0.0008,0.0069,0.035,0.0403,0.7068,0.0,-15.1999998092651,0.189999997615814
05EC003,53.948609999999995,-113.0583,1490.0,655.3,1.8132,88.4386,0.6924,0.1483,0.0129,0.0024,0.0154,0.0398,0.0481,0.7332,0.0,-15.4046294689178,0.17898147905038503
05EC005,53.8966,-112.99600000000001,1596.2805,656.9,1.6872,79.4455,0.685,0.1384,0.0114,0.0023,0.0149,0.0402,0.0423,0.7505,0.0,-15.408430400628701,0.178776813525879
05EC006,54.115559999999995,-112.3,1000.0,665.5,1.7447,202.5392,1.5743,0.4594,0.0134,0.0028,0.0424,0.022000000000000002,0.1208,0.3392,0.0,-15.1999998092651,0.189999997615814
